open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764547200000,2990.02,2998.84,2900.00,2915.16,395135.536,1764548099999,1163429389.22292,513950,155108.109,456587191.14694,0
1764548100000,2915.15,2923.38,2877.77,2891.76,222356.133,1764548999999,644758588.62315,381433,99107.169,287534694.66781,0
1764549000000,2891.77,2894.97,2861.00,2863.63,228777.000,1764549899999,657525101.79772,399354,102689.478,295211307.46164,0
1764549900000,2863.63,2864.47,2830.00,2834.82,228622.274,1764550799999,650726427.51136,321982,99145.544,282159070.12558,0
1764550800000,2834.82,2859.50,2832.04,2847.31,139965.014,1764551699999,398872525.99107,235021,69214.619,197268632.55746,0
1764551700000,2847.32,2857.55,2840.71,2845.62,70916.541,1764552599999,202090714.52537,136663,38042.558,108415794.03070,0
1764552600000,2845.62,2857.14,2841.01,2849.81,48522.611,1764553499999,138305921.24054,109951,24776.555,70631669.18076,0
1764553500000,2849.80,2855.00,2845.60,2849.42,35500.611,1764554399999,101175787.14375,77156,19094.540,54421806.13844,0
1764554400000,2849.42,2872.99,2846.11,2865.71,136511.372,1764555299999,390867277.75312,154780,81719.722,233975660.28926,0
1764555300000,2865.71,2867.73,2852.31,2852.31,37480.831,1764556199999,107156511.54970,65791,17233.384,49275884.61922,0
1764556200000,2852.30,2861.76,2824.60,2850.67,153699.038,1764557099999,437366129.19912,159834,67711.577,192813441.03260,0
1764557100000,2850.66,2851.34,2833.75,2836.79,66645.657,1764557999999,189253092.81345,111122,30976.020,87953741.71734,0
1764558000000,2836.80,2841.86,2812.76,2824.21,123534.562,1764558899999,349240986.59639,150881,57389.840,162315593.99638,0
1764558900000,2824.21,2833.33,2817.74,2826.40,56083.527,1764559799999,158531089.41520,102707,30108.623,85106997.96251,0
1764559800000,2826.40,2830.80,2812.50,2830.60,71030.491,1764560699999,200544281.92265,125282,38421.398,108493670.17433,0
1764560700000,2830.60,2831.00,2818.66,2824.80,38885.074,1764561599999,109845274.36007,70321,18896.188,53379996.25119,0
1764561600000,2824.81,2827.00,2812.60,2818.19,42577.141,1764562499999,120096615.81390,93454,20353.011,57414268.71743,0
1764562500000,2818.19,2819.56,2805.55,2807.25,89006.809,1764563399999,250297896.58166,145885,41794.757,117547099.12625,0
1764563400000,2807.25,2816.87,2805.86,2813.89,50296.269,1764564299999,141437671.06292,86950,29589.679,83208965.40476,0
1764564300000,2813.88,2823.78,2811.57,2820.82,40010.027,1764565199999,112723464.21732,69189,20369.916,57395668.77073,0
1764565200000,2820.81,2825.27,2812.45,2815.64,41034.671,1764566099999,115708341.67566,74646,18364.240,51793995.89973,0
1764566100000,2815.64,2824.68,2808.68,2821.45,42845.318,1764566999999,120687241.59830,66997,22107.788,62275370.51226,0
1764567000000,2821.45,2821.47,2811.22,2813.98,23280.956,1764567899999,65575905.97512,46294,11136.561,31367134.94954,0
1764567900000,2813.98,2830.00,2813.97,2826.77,63150.704,1764568799999,178446821.46162,69251,33921.784,95845160.76637,0
1764568800000,2826.77,2834.77,2823.33,2828.59,42173.377,1764569699999,119278989.58879,58103,22434.943,63459092.86734,0
1764569700000,2828.58,2832.23,2823.46,2825.17,23490.268,1764570599999,66426826.94728,44842,10054.156,28436791.51776,0
1764570600000,2825.18,2829.00,2821.22,2827.80,14882.670,1764571499999,42041541.08381,38738,7875.785,22249929.28709,0
1764571500000,2827.80,2829.84,2822.11,2823.52,14341.734,1764572399999,40522571.63009,33820,7317.801,20676985.49109,0
1764572400000,2823.51,2825.64,2818.48,2823.61,22180.772,1764573299999,62594488.07865,42930,9887.770,27904461.32620,0
1764573300000,2823.61,2832.18,2821.53,2827.91,24623.392,1764574199999,69611738.11376,47898,11522.026,32572152.27860,0
1764574200000,2827.91,2839.20,2827.55,2837.49,44848.947,1764575099999,127131500.34684,63926,26773.498,75897589.93665,0
1764575100000,2837.48,2843.42,2835.71,2838.44,44025.942,1764575999999,125020036.20982,60701,22347.164,63460565.11070,0
1764576000000,2838.43,2844.72,2833.05,2833.08,36708.978,1764576899999,104186858.31158,57801,16188.772,45955477.95917,0
1764576900000,2833.08,2836.91,2830.65,2836.23,19940.543,1764577799999,56507430.14452,44950,8750.487,24799668.65290,0
1764577800000,2836.23,2841.91,2832.22,2840.34,19527.448,1764578699999,55429290.84964,39838,9768.521,27730476.57658,0
1764578700000,2840.37,2841.55,2832.12,2838.87,25590.693,1764579599999,72624099.05727,42557,10941.453,31052024.01289,0
1764579600000,2838.86,2854.56,2828.93,2833.00,107787.667,1764580499999,306323050.14543,117464,59222.656,168351403.47389,0
1764580500000,2833.00,2836.62,2827.00,2836.53,36649.955,1764581399999,103803233.36109,53895,16971.860,48072287.74625,0
1764581400000,2836.54,2841.00,2835.03,2840.79,43032.920,1764582299999,122119584.39419,43186,25781.238,73165952.67226,0
1764582300000,2840.79,2843.43,2834.45,2837.88,30221.579,1764583199999,85795131.61085,36607,17298.309,49115539.06059,0
1764583200000,2837.88,2844.82,2837.26,2837.46,25835.107,1764584099999,73408723.79068,41270,11316.006,32153236.51104,0
1764584100000,2837.46,2838.19,2835.68,2836.76,11601.597,1764584999999,32914578.66740,25791,5506.937,15623474.76027,0
1764585000000,2836.76,2841.42,2836.19,2840.63,27622.531,1764585899999,78412336.49336,24834,21444.854,60875118.83184,0
1764585900000,2840.64,2843.00,2840.45,2841.89,20184.340,1764586799999,57362393.61442,25007,9493.685,26980398.18507,0
1764586800000,2841.90,2843.00,2833.86,2836.00,25123.136,1764587699999,71267695.85943,44479,12591.754,35717230.85377,0
1764587700000,2835.99,2848.75,2835.70,2842.28,48610.516,1764588599999,138163020.43203,53558,27151.570,77157565.75258,0
1764588600000,2842.28,2843.14,2835.08,2836.19,29744.981,1764589499999,84505299.76917,44622,16774.764,47659485.38630,0
1764589500000,2836.20,2841.29,2835.50,2836.48,16431.838,1764590399999,46628186.76218,35164,8079.986,22929639.85355,0
1764590400000,2836.48,2838.11,2815.17,2818.88,95153.158,1764591299999,268764467.69221,125954,39965.848,112885927.00759,0
1764591300000,2818.87,2827.49,2817.48,2820.06,41874.212,1764592199999,118159868.59318,73492,19048.759,53752860.38864,0
1764592200000,2820.07,2823.72,2810.22,2817.14,59691.416,1764593099999,168046505.56726,100852,26397.337,74314604.31932,0
1764593100000,2817.14,2827.69,2791.00,2819.53,218211.079,1764593999999,613583097.94304,246298,106744.557,300291504.31639,0
1764594000000,2819.52,2838.98,2817.80,2826.80,128446.279,1764594899999,363363552.72470,186065,59405.478,168077984.29905,0
1764594900000,2826.80,2829.15,2820.00,2822.02,43171.098,1764595799999,121924433.27144,80852,20011.958,56522746.27167,0
1764595800000,2822.03,2822.91,2806.36,2808.99,66372.789,1764596699999,186695147.06642,110898,30859.082,86802855.12975,0
1764596700000,2808.99,2815.86,2802.94,2812.03,60843.837,1764597599999,170977260.45088,90959,26958.077,75771348.99391,0
1764597600000,2812.03,2826.00,2808.00,2819.51,60567.927,1764598499999,170650106.92747,92965,33821.736,95308809.44332,0
1764598500000,2819.51,2820.50,2812.58,2819.00,22006.885,1764599399999,61967791.80585,52607,9680.773,27259815.82497,0
1764599400000,2819.01,2831.07,2804.15,2811.12,95849.808,1764600299999,270154311.02543,209851,47617.527,134230561.74386,0
1764600300000,2811.13,2822.33,2805.00,2816.84,73346.872,1764601199999,206410308.01633,143803,34401.819,96828489.41057,0
1764601200000,2816.85,2819.28,2796.28,2799.56,53280.090,1764602099999,149670796.59766,117515,22595.795,63516589.48061,0
1764602100000,2799.56,2804.65,2765.76,2769.19,275303.188,1764602999999,766278417.09546,343286,118866.280,330891921.83306,0
1764603000000,2769.20,2770.61,2718.07,2725.97,371417.536,1764603899999,1018735770.10009,462058,158940.941,436041868.41487,0
1764603900000,2725.98,2757.00,2719.95,2745.01,216397.685,1764604799999,593084332.90510,317138,112761.057,309100639.99422,0
